VIDN,firstName,lastName,yearOfBirth,DLN,stateIDN,SSN4,streetNumber,dateOfBirth,streetAddress,addressLine2,city,stateCode,ZIP5,email,mobilePhone,eligibleAbsentee,disabilityAbsentee,UOCAVAAbsentee,DLPhotoRequired,electionJurisdiction,precinctID,partyAffiliation,ballotID
R01234567890,Shavon,Mays,2000,R41433,,1251,W279S3173,12/31/00,W279S3173 Chondrite Street,,Orbit City South,KY,77707,smays@spiff.com,900-432-1251,1,0,0,0,Gadget County,2,,precinct_2_spacetown
A00000000003,Joseph,Brown,2000,A12345,,2345,442,01/18/00,442 Test Street,Apt. 11,Orbit City,KY,77707,mvptuser@yahoo.com,900-432-5555,1,0,0,0,Gadget County,1,,precinct_1_downtown
A00000000004,Molly,Tran,2000,B12345,,2346,443,02/02/00,443 Test Steet,Unit 14,Orbit City,KY,77707,mvptuser@yahoo.com,900-432-6666,1,1,0,0,Gadget County,2,,precinct_2_spacetown
A00000000005,Charlie,Brown,2000,,C12345,2347,444,01/18/00,444 Test Street,Apt 11,Orbit City,KY,77707,mvptuser@yahoo.com,900-432-7777,1,0,1,0,Gadget County,3,,precinct_3_spaceport
A00000000006,Sue,Mi,2000,D12345,,2348,445,02/04/00,445 Test Street,,Orbit City,KY,77707,mvptuser@yahoo.com,900-432-8888,1,1,1,0,Gadget County,4,,precinct_4_bedrock
B00000000001,Camilla,Banja,1998,D88217,,3124,E227N3134,12/31/98,E227N3134 Chondrite Street,,Orbit City South,KY,77707,camilla@assemblyvoting.com,900-541-1238,1,0,0,0,Gadget County,4,,precinct_4_bedrock
B00000000002,Mads,Christiansen,1997,S11183,,3125,1105,03/19/97,1105 Elliptical Road,,Orbit City South,KY,77707,madc@assemblyvoting.com,900-541-1239,1,1,0,0,Gadget County,1,,precinct_1_downtown
B00000000003,Michael,Andersen,1996,U51885,,3126,8282,02/24/96,8282 Faculae Place,,Orbit City South,KY,77707,michael@assemblyvoting.com,900-541-1240,1,0,1,0,Gadget County,2,,precinct_2_spacetown
B00000000004,Michael,Zedeler,1995,V68067,,3127,76,06/27/95,76 Lagrange Lane,Unit 16,Orbit City South,KY,77707,michael.zedeler@assemblyvoting.com,900-541-1241,1,0,0,0,Gadget County,3,,precinct_3_spaceport
B00000000005,Pauline,Lindskov,1994,X11938,,3128,55,04/11/94,55 Oort Alley,,Orbit City South,KY,77707,pauline.lindskov@assemblyvoting.com,900-541-1242,1,0,0,1,Gadget County,4,,precinct_4_bedrock
B00000000006,Lukas,Andrade,1993,,A54345,3129,4400,01/22/93,4400 Tektite Avenue,Apt. 14,Orbit City,KY,77707,lukas.andrade@assemblyvoting.com,900-541-1243,1,0,0,0,Gadget County,1,,precinct_1_downtown
B00000000007,Stefan,Patachi,1992,M45910,,3130,56,11/30/92,56 Conges Circle,,Orbit City North,KY,77707,stefan@assemblyvoting.com,900-541-1244,1,0,0,0,Gadget County,2,,precinct_2_spacetown
B00000000008,Drake,Rambke,1991,P56789,,3131,7,03/24/91,7 Sidereal Lane,Unit A1,Orbit City,KY,77707,drakerambke@gmail.com,900-541-1245,1,0,0,0,Gadget County,3,,precinct_3_spaceport
B00000000009,Jocelyn,Bucaro,1990,J98765,,3132,57,07/16/90,57 Conges Circle,,SpacePort,KY,77707,jocelyn@tuskphilanthropies.org,900-541-1246,1,0,0,0,Gadget County,4,,precinct_4_bedrock
B00000000010,John,Sebes,1989,Z40244,,3133,46,09/30/89,46 Quasar Corner,,Orbit City South,KY,77707,jsebes@osetinstitute.org,900-541-1247,1,0,0,0,Gadget County,1,,precinct_1_downtown
B00000000011,Anne,Pharr,1988,,B90907,3134,6,08/07/88,6 Sidereal Lane,3rd Floor,Orbit City,KY,77707,anne@osetfoundation.org,900-541-1248,1,1,0,1,Gadget County,2,,precinct_2_spacetown
